Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0133,001,33FP0133,210400,473366,650,,702,-6750,-7000,1989/12/14,1995/10/23
B33F0133,001,33FP0133,210400,473366,650,,714,-6750,-7000,1995/10/23,2011/01/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B33F0133,001,1989/12/14 00:00:00,530,
B33F0133,001,1990/01/15 00:00:00,493,
B33F0133,001,1990/01/29 00:00:00,480,
B33F0133,001,1990/02/14 00:00:00,497,
B33F0133,001,1990/03/01 00:00:00,494,
B33F0133,001,1990/03/13 00:00:00,496,
B33F0133,001,1990/03/28 00:00:00,511,
B33F0133,001,1990/04/13 00:00:00,521,
B33F0133,001,1990/04/27 00:00:00,522,
B33F0133,001,1990/05/14 00:00:00,513,
B33F0133,001,1990/05/28 00:00:00,511,
B33F0133,001,1990/06/14 00:00:00,532,
B33F0133,001,1990/06/28 00:00:00,536,
B33F0133,001,1990/07/13 00:00:00,533,
B33F0133,001,1990/07/27 00:00:00,521,
B33F0133,001,1990/08/14 00:00:00,543,
B33F0133,001,1990/08/28 00:00:00,548,
B33F0133,001,1990/09/14 00:00:00,551,
B33F0133,001,1990/09/28 00:00:00,546,
B33F0133,001,1990/10/14 00:00:00,534,
B33F0133,001,1990/11/14 00:00:00,526,
B33F0133,001,1990/12/14 00:00:00,515,
B33F0133,001,1991/01/14 00:00:00,469,
B33F0133,001,1991/01/28 00:00:00,481,
B33F0133,001,1991/02/15 00:00:00,499,
B33F0133,001,1991/02/28 00:00:00,486,
B33F0133,001,1991/03/29 00:00:00,508,
B33F0133,001,1991/04/16 00:00:00,515,
B33F0133,001,1991/04/29 00:00:00,523,
B33F0133,001,1991/05/14 00:00:00,498,
B33F0133,001,1991/05/28 00:00:00,493,
B33F0133,001,1991/06/14 00:00:00,531,
B33F0133,001,1991/07/28 00:00:00,481,
B33F0133,001,1991/08/14 00:00:00,519,
B33F0133,001,1991/08/28 00:00:00,550,
B33F0133,001,1991/09/13 00:00:00,578,
B33F0133,001,1991/09/27 00:00:00,567,
B33F0133,001,1991/10/14 00:00:00,554,
B33F0133,001,1991/10/29 00:00:00,534,
B33F0133,001,1991/11/14 00:00:00,528,
B33F0133,001,1991/11/27 00:00:00,527,
B33F0133,001,1991/12/13 00:00:00,536,
B33F0133,001,1992/01/16 00:00:00,504,
B33F0133,001,1992/01/28 00:00:00,504,
B33F0133,001,1992/02/14 00:00:00,512,
B33F0133,001,1992/02/28 00:00:00,523,
B33F0133,001,1992/03/13 00:00:00,519,
B33F0133,001,1992/03/27 00:00:00,499,
B33F0133,001,1992/04/14 00:00:00,508,
B33F0133,001,1992/04/28 00:00:00,499,
B33F0133,001,1992/05/14 00:00:00,513,
B33F0133,001,1992/05/29 00:00:00,533,
B33F0133,001,1992/06/15 00:00:00,515,
B33F0133,001,1992/06/30 00:00:00,546,
B33F0133,001,1992/07/14 00:00:00,550,
B33F0133,001,1992/07/28 00:00:00,547,
B33F0133,001,1992/08/14 00:00:00,536,
B33F0133,001,1992/08/28 00:00:00,536,
B33F0133,001,1992/09/14 00:00:00,523,
B33F0133,001,1992/09/28 00:00:00,526,
B33F0133,001,1992/10/14 00:00:00,529,
B33F0133,001,1992/10/29 00:00:00,529,
B33F0133,001,1992/11/13 00:00:00,523,
B33F0133,001,1992/11/27 00:00:00,505,
B33F0133,001,1992/12/14 00:00:00,499,
B33F0133,001,1993/01/14 00:00:00,520,
B33F0133,001,1993/01/29 00:00:00,514,
B33F0133,001,1993/02/15 00:00:00,525,
B33F0133,001,1993/03/01 00:00:00,514,
B33F0133,001,1993/03/15 00:00:00,488,
B33F0133,001,1993/03/29 00:00:00,499,
B33F0133,001,1993/04/14 00:00:00,504,
B33F0133,001,1993/04/28 00:00:00,514,
B33F0133,001,1993/05/14 00:00:00,517,
B33F0133,001,1993/05/28 00:00:00,510,
B33F0133,001,1993/06/14 00:00:00,518,
B33F0133,001,1993/06/28 00:00:00,503,
B33F0133,001,1993/07/14 00:00:00,543,
B33F0133,001,1993/07/28 00:00:00,515,
B33F0133,001,1993/08/16 00:00:00,503,
B33F0133,001,1993/08/27 00:00:00,553,
B33F0133,001,1993/09/14 00:00:00,503,
B33F0133,001,1993/09/28 00:00:00,550,
B33F0133,001,1993/10/15 00:00:00,569,
B33F0133,001,1993/10/28 00:00:00,560,
B33F0133,001,1993/11/15 00:00:00,528,
B33F0133,001,1993/11/30 00:00:00,558,
B33F0133,001,1993/12/14 00:00:00,539,
B33F0133,001,1993/12/28 00:00:00,479,
B33F0133,001,1994/01/14 00:00:00,482,
B33F0133,001,1994/02/14 00:00:00,500,
B33F0133,001,1994/02/28 00:00:00,485,
B33F0133,001,1994/03/14 00:00:00,476,
B33F0133,001,1994/03/28 00:00:00,457,
B33F0133,001,1994/04/14 00:00:00,467,
B33F0133,001,1994/04/28 00:00:00,491,
B33F0133,001,1994/05/16 00:00:00,454,
B33F0133,001,1994/05/27 00:00:00,471,
B33F0133,001,1994/06/14 00:00:00,471,
B33F0133,001,1994/06/28 00:00:00,484,
B33F0133,001,1994/07/14 00:00:00,512,
B33F0133,001,1994/08/30 00:00:00,513,
B33F0133,001,1994/09/14 00:00:00,516,
B33F0133,001,1994/09/28 00:00:00,509,
B33F0133,001,1994/10/14 00:00:00,515,
B33F0133,001,1994/10/28 00:00:00,505,
B33F0133,001,1994/11/14 00:00:00,481,
B33F0133,001,1994/11/29 00:00:00,489,
B33F0133,001,1994/12/13 00:00:00,480,
B33F0133,001,1994/12/28 00:00:00,461,
B33F0133,001,1995/01/13 00:00:00,470,
B33F0133,001,1995/01/27 00:00:00,454,
B33F0133,001,1995/02/14 00:00:00,447,
B33F0133,001,1995/02/28 00:00:00,451,
B33F0133,001,1995/03/14 00:00:00,454,
B33F0133,001,1995/03/28 00:00:00,445,
B33F0133,001,1995/04/14 00:00:00,489,
B33F0133,001,1995/04/28 00:00:00,472,
B33F0133,001,1995/05/15 00:00:00,458,
B33F0133,001,1995/05/30 00:00:00,455,
B33F0133,001,1995/06/14 00:00:00,464,
B33F0133,001,1995/06/28 00:00:00,513,
B33F0133,001,1995/07/14 00:00:00,529,
B33F0133,001,1995/07/28 00:00:00,504,
B33F0133,001,1995/08/14 00:00:00,526,
B33F0133,001,1995/08/28 00:00:00,517,
B33F0133,001,1995/09/13 00:00:00,541,
B33F0133,001,1995/09/27 00:00:00,514,
B33F0133,001,1995/10/13 00:00:00,508,
B33F0133,001,1995/10/23 00:00:00,508,
B33F0133,001,1995/11/14 00:00:00,522,
B33F0133,001,1995/11/28 00:00:00,533,
B33F0133,001,1995/12/15 00:00:00,546,
B33F0133,001,1995/12/28 00:00:00,510,
B33F0133,001,1996/01/12 00:00:00,507,
B33F0133,001,1996/01/26 00:00:00,505,
B33F0133,001,1996/02/14 00:00:00,496,
B33F0133,001,1996/02/28 00:00:00,485,
B33F0133,001,1996/03/14 00:00:00,479,
B33F0133,001,1996/03/28 00:00:00,477,
B33F0133,001,1996/04/12 00:00:00,478,
B33F0133,001,1996/04/26 00:00:00,501,
B33F0133,001,1996/05/15 00:00:00,498,
B33F0133,001,1996/05/30 00:00:00,485,
B33F0133,001,1996/06/12 00:00:00,506,
B33F0133,001,1996/06/28 00:00:00,499,
B33F0133,001,1996/07/17 00:00:00,471,
B33F0133,001,1996/08/14 00:00:00,471,
B33F0133,001,1996/08/28 00:00:00,469,
B33F0133,001,1996/09/13 00:00:00,472,
B33F0133,001,1996/09/27 00:00:00,496,
B33F0133,001,1996/10/16 00:00:00,494,
B33F0133,001,1996/10/30 00:00:00,501,
B33F0133,001,1996/11/14 00:00:00,482,
B33F0133,001,1996/11/28 00:00:00,465,
B33F0133,001,1996/12/13 00:00:00,468,
B33F0133,001,1997/01/15 00:00:00,459,
B33F0133,001,1997/01/29 00:00:00,463,
B33F0133,001,1997/02/14 00:00:00,459,
B33F0133,001,1997/02/28 00:00:00,449,
B33F0133,001,1997/03/13 00:00:00,459,
B33F0133,001,1997/03/28 00:00:00,460,
B33F0133,001,1997/04/15 00:00:00,459,
B33F0133,001,1997/04/29 00:00:00,455,
B33F0133,001,1997/05/14 00:00:00,457,
B33F0133,001,1997/06/13 00:00:00,478,
B33F0133,001,1997/06/27 00:00:00,467,
B33F0133,001,1997/07/15 00:00:00,445,
B33F0133,001,1997/07/29 00:00:00,424,
B33F0133,001,1997/08/14 00:00:00,454,
B33F0133,001,1997/08/28 00:00:00,471,
B33F0133,001,1997/09/10 00:00:00,467,
B33F0133,001,1997/09/16 00:00:00,465,
B33F0133,001,1997/09/30 00:00:00,472,
B33F0133,001,1997/10/14 00:00:00,457,
B33F0133,001,1997/10/28 00:00:00,457,
B33F0133,001,1997/11/14 00:00:00,457,
B33F0133,001,1997/11/28 00:00:00,459,
B33F0133,001,1997/12/16 00:00:00,456,
B33F0133,001,1998/01/28 00:00:00,454,
B33F0133,001,1998/02/15 00:00:00,459,
B33F0133,001,1998/02/26 00:00:00,466,
B33F0133,001,1998/03/13 00:00:00,428,
B33F0133,001,1998/03/27 00:00:00,432,
B33F0133,001,1998/04/15 00:00:00,411,
B33F0133,001,1998/04/28 00:00:00,410,
B33F0133,001,1998/05/14 00:00:00,429,
B33F0133,001,1998/05/28 00:00:00,436,
B33F0133,001,1998/06/15 00:00:00,421,
B33F0133,001,1998/06/30 00:00:00,434,
B33F0133,001,1998/07/14 00:00:00,418,
B33F0133,001,1998/07/28 00:00:00,409,
B33F0133,001,1998/08/14 00:00:00,419,
B33F0133,001,1998/08/28 00:00:00,428,
B33F0133,001,1998/09/15 00:00:00,411,
B33F0133,001,1998/10/14 00:00:00,415,
B33F0133,001,1998/10/28 00:00:00,402,
B33F0133,001,1998/11/13 00:00:00,397,
B33F0133,001,1998/11/27 00:00:00,412,
B33F0133,001,1998/12/14 00:00:00,397,
B33F0133,001,1999/01/15 00:00:00,378,
B33F0133,001,1999/01/29 00:00:00,392,
B33F0133,001,1999/02/15 00:00:00,374,
B33F0133,001,1999/03/02 00:00:00,358,
B33F0133,001,1999/03/15 00:00:00,367,
B33F0133,001,1999/03/31 00:00:00,391,
