Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0080,001,33FP0080,213260,473900,685,,717,385,285,1972/11/28,1986/11/28
B33F0080,001,33FP0080,213260,473900,685,,709,385,285,1986/11/28,1997/09/10
B33F0080,001,33FP0080,213260,473900,692,,716,385,285,1997/09/10,2004/07/06
B33F0080,001,33FP0080,213260,473900,692,,718,385,285,2004/07/06,2015/06/17

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B33F0080,001,1972/11/28 00:00:00,109,
B33F0080,001,1972/12/07 00:00:00,108,
B33F0080,001,1972/12/14 00:00:00,115,
B33F0080,001,1972/12/21 00:00:00,121,
B33F0080,001,1972/12/28 00:00:00,128,
B33F0080,001,1973/03/15 00:00:00,113,
B33F0080,001,1973/03/29 00:00:00,122,
B33F0080,001,1973/04/12 00:00:00,106,
B33F0080,001,1973/04/26 00:00:00,118,
B33F0080,001,1973/05/15 00:00:00,121,
B33F0080,001,1973/05/29 00:00:00,131,
B33F0080,001,1973/06/15 00:00:00,136,
B33F0080,001,1973/06/29 00:00:00,151,
B33F0080,001,1973/07/16 00:00:00,157,
B33F0080,001,1973/08/15 00:00:00,157,
B33F0080,001,1973/08/29 00:00:00,169,
B33F0080,001,1973/09/13 00:00:00,169,
B33F0080,001,1973/09/27 00:00:00,140,
B33F0080,001,1973/10/16 00:00:00,134,
B33F0080,001,1973/10/30 00:00:00,124,
B33F0080,001,1973/11/15 00:00:00,102,
B33F0080,001,1973/11/29 00:00:00,114,
B33F0080,001,1973/12/13 00:00:00,91,
B33F0080,001,1973/12/28 00:00:00,101,
B33F0080,001,1974/01/15 00:00:00,103,
B33F0080,001,1974/01/29 00:00:00,102,
B33F0080,001,1974/02/15 00:00:00,108,
B33F0080,001,1974/03/01 00:00:00,120,
B33F0080,001,1974/03/15 00:00:00,123,
B33F0080,001,1974/03/29 00:00:00,122,
B33F0080,001,1974/04/17 00:00:00,131,
B33F0080,001,1974/05/01 00:00:00,135,
B33F0080,001,1974/05/15 00:00:00,126,
B33F0080,001,1974/05/29 00:00:00,137,
B33F0080,001,1974/06/13 00:00:00,127,
B33F0080,001,1974/06/27 00:00:00,144,
B33F0080,001,1974/07/12 00:00:00,138,
B33F0080,001,1974/08/01 00:00:00,144,
